x[m];y[m];operacao;area.total[m2];area.mato[m2];ang.abs[deg];ang.proa[deg];dist[m];rtl[m]
55.23;41.55;p;121.03;0.00;-129.84;0.00;9.98;69.11
48.83;49.21;p;121.82;0.00;-129.84;0.00;9.98;69.33
42.44;56.87;p;120.89;0.00;-129.84;0.00;9.98;70.96
36.05;64.53;p;121.82;0.00;-129.84;0.00;9.98;73.92
29.66;72.19;p;121.04;0.00;-129.84;0.00;9.98;78.05
23.27;79.85;p;121.03;0.00;-129.84;0.00;9.98;83.17
16.88;87.51;p;121.82;0.00;-129.84;0.00;9.98;89.12
10.49;95.17;p;120.41;1.02;-129.84;0.00;9.98;95.74
4.10;102.83;y;13.39;0.05;-129.84;39.55;0.00;102.91
4.10;102.83;p;95.95;2.45;-90.29;0.00;9.39;102.91
4.05;112.21;y;47.20;2.70;-90.29;154.92;0.00;112.29
4.05;112.21;p;96.81;1.19;64.62;0.00;8.19;112.29
7.56;104.81;y;34.01;0.00;64.62;-104.82;0.00;105.08
7.56;104.81;p;80.33;0.04;-40.19;0.00;6.53;105.08
12.55;109.03;y;18.17;0.05;-40.19;-55.81;0.00;109.75
12.55;109.03;p;96.63;1.01;-96.00;0.00;7.80;109.75
11.73;116.78;y;3.35;0.01;-96.00;-7.52;0.00;117.37
11.73;116.78;p;98.26;0.12;-103.52;0.00;7.98;117.37
9.87;124.54;y;22.23;0.13;-103.52;-68.45;0.00;124.93
9.87;124.54;p;89.56;0.29;-171.97;0.00;7.28;124.93
2.66;125.56;y;34.66;1.41;-171.97;107.38;0.00;125.58
2.66;125.56;p;77.70;0.00;-64.59;0.00;7.17;125.58
5.73;132.03;y;1.23;0.00;-64.59;-2.06;0.00;132.16
5.73;132.03;p;113.22;2.57;-66.65;0.00;9.29;132.16
9.42;140.57;y;16.52;0.29;-66.65;-51.69;0.00;140.88
9.42;140.57;p;95.92;1.42;-118.34;0.00;7.87;140.88
5.68;147.50;y;6.72;0.00;-118.34;19.49;0.00;147.61
5.68;147.50;p;79.05;0.84;-98.85;0.00;6.88;147.61
4.62;154.30;p;70.76;0.00;-98.85;0.00;6.88;154.37
3.56;161.10;y;4.32;0.00;-98.85;11.76;0.00;161.14
3.56;161.10;p;69.20;0.25;-87.09;0.00;6.94;161.14
3.91;168.03;p;71.64;0.00;-87.09;0.00;6.94;168.08
4.26;174.97;p;74.16;1.83;-87.09;0.00;6.94;175.02
4.62;181.90;y;5.84;0.73;-87.09;15.60;0.00;181.96
4.62;181.90;p;114.42;3.66;-71.49;0.00;9.58;181.96
7.66;190.99;y;14.45;0.00;-71.49;44.21;0.00;191.14
7.66;190.99;p;109.91;7.86;-27.28;0.00;9.05;191.14
15.70;195.13;y;26.60;2.95;-27.28;82.71;0.00;195.76
15.70;195.13;p;112.32;1.57;55.43;0.00;9.25;195.76
20.95;187.52;y;28.69;0.77;55.43;-87.97;0.00;188.69
20.95;187.52;p;107.97;2.88;-32.53;0.00;8.86;188.69
28.42;192.28;p;108.78;0.49;-32.53;0.00;8.86;194.37
35.89;197.05;y;29.41;0.48;-32.53;90.17;0.00;200.29
35.89;197.05;p;82.89;1.01;57.64;0.00;6.80;200.29
39.52;191.31;p;83.51;0.49;57.64;0.00;6.80;195.35
43.16;185.56;y;28.21;0.26;57.64;-87.05;0.00;190.52
43.16;185.56;p;88.47;1.78;-29.41;0.00;7.24;190.52
49.47;189.12;y;12.87;0.00;-29.41;39.32;0.00;195.49
49.47;189.12;p;85.82;0.05;9.91;0.00;7.03;195.49
56.40;187.91;p;86.81;1.19;9.91;0.00;7.03;196.19
63.33;186.70;y;3.49;0.00;9.91;-9.16;0.00;197.15
63.33;186.70;p;101.24;0.98;0.76;0.00;8.34;197.15
71.68;186.59;p;102.26;1.71;0.76;0.00;8.34;199.88
80.02;186.48;y;22.75;0.35;0.76;-69.06;0.00;202.92
80.02;186.48;p;112.40;0.01;-68.30;0.00;9.20;202.92
83.42;195.02;y;37.91;0.81;-68.30;117.49;0.00;212.12
83.42;195.02;p;91.58;1.24;49.19;0.00;7.52;212.12
88.33;189.33;y;30.28;0.05;49.19;-93.53;0.00;208.93
88.33;189.33;p;68.43;0.00;-44.34;0.00;5.58;208.93
92.32;193.23;p;68.43;0.24;-44.34;0.00;5.58;214.15
96.31;197.13;y;46.47;1.68;-44.34;145.11;0.00;219.40
